PMMOV,positivity
124.1074097,1
44.74957371,1
58.10249302,1
37.89716309,1
44.96141494,1
91.66168047,1
538.6267821,1
297.9871722,1
567.1141779,1
583.4611761,1
2025.464986,1
905.8725736,1
3563.854132,1
629.8534914,1
562.4964596,1
1944.720998,1
364.5355705,1
714.5666456,1
1984.477919,1
8.491407673,0.666666667
11.92531221,0.333333333
14.70794286,1
4.553338342,0.666666667
10.80930594,1
124.2043816,0.5
206.9814713,1
63.3956643,1
0.03757947,0
182.6569487,1
586.35242,1
